date,unemployed_15_24,u_rate_15_24,unemployed_15_30,u_rate_15_30
2016-01-01,283.6,10.7,402.8,6.9
2016-02-01,236.1,9.0,340.6,5.7
2016-03-01,285.0,10.9,416.1,7.0
2016-04-01,305.6,11.5,405.7,6.9
2016-05-01,291.6,11.1,395.2,6.8
2016-06-01,240.5,9.6,387.3,6.6
2016-07-01,309.0,11.8,446.9,7.5
2016-08-01,305.3,11.6,412.9,6.8
2016-09-01,266.3,10.6,369.9,6.4
2016-10-01,290.5,11.4,399.7,6.8
2016-11-01,253.7,9.5,391.2,6.6
2016-12-01,267.4,10.2,393.6,6.6
2017-01-01,306.2,12.0,410.6,7.0
2017-02-01,285.4,11.1,413.7,7.0
2017-03-01,258.9,10.1,392.2,6.6
2017-04-01,272.2,10.8,414.5,6.9
2017-05-01,320.2,12.2,418.8,7.0
2017-06-01,296.5,11.4,420.1,7.0
2017-07-01,281.1,11.3,445.1,7.6
2017-08-01,295.9,11.6,423.1,7.1
2017-09-01,267.4,10.3,377.5,6.4
2017-10-01,303.6,11.7,418.8,7.0
2017-11-01,314.4,11.7,406.7,6.7
2017-12-01,309.0,11.7,404.7,6.8
2018-01-01,328.5,12.3,437.6,7.2
2018-02-01,310.9,11.6,423.0,6.9
2018-03-01,306.2,11.7,414.4,6.9
2018-04-01,287.9,10.6,420.3,6.8
2018-05-01,292.5,10.6,391.9,6.4
2018-06-01,284.3,10.4,426.9,6.9
2018-07-01,320.6,11.8,425.4,6.9
2018-08-01,303.2,11.5,407.0,6.7
2018-09-01,289.5,10.5,413.3,6.8
2018-10-01,277.2,10.1,429.1,7.0
2018-11-01,289.0,10.5,415.1,6.7
2018-12-01,328.7,11.7,428.8,6.8
2019-01-01,290.1,10.6,409.3,6.7
2019-02-01,282.1,10.5,424.3,6.8
2019-03-01,266.3,9.9,403.0,6.6
2019-04-01,288.1,10.3,430.0,6.9
2019-05-01,289.3,10.5,414.4,6.7
2019-06-01,287.0,10.5,418.5,6.8
2019-07-01,291.3,10.2,434.4,7.0
2019-08-01,297.8,11.2,441.2,7.3
2019-09-01,307.1,11.1,443.4,7.2
2019-10-01,244.5,9.0,404.8,6.4
2019-11-01,274.2,9.5,411.8,6.5
2019-12-01,309.9,11.2,412.9,6.5
2020-01-01,268.1,10.0,396.9,6.4
2020-02-01,288.0,10.8,395.0,6.4
2020-03-01,291.4,11.3,470.5,7.8
2020-04-01,324.2,12.9,528.0,9.0
2020-05-01,362.4,14.2,573.7,10.0
2020-06-01,335.8,13.1,581.7,9.7
2020-07-01,313.2,13.9,544.5,9.7
2020-08-01,331.0,13.7,502.3,8.9
2020-09-01,325.5,13.0,502.6,8.5
2020-10-01,321.6,13.4,513.2,8.9
2020-11-01,344.5,13.0,528.4,8.8
2020-12-01,312.2,13.2,497.2,8.7
2021-01-01,295.3,13.5,509.2,9.2
2021-02-01,347.6,13.9,544.3,9.2
2021-03-01,321.1,13.4,537.3,9.3
2021-04-01,310.7,13.7,507.3,8.7
2021-05-01,328.1,13.6,545.7,9.2
2021-06-01,340.9,12.7,565.1,9.4
2021-07-01,344.1,13.7,520.6,8.5
2021-08-01,321.1,13.9,524.1,8.8
2021-09-01,335.1,13.9,507.8,8.5
2021-10-01,358.8,13.9,508.4,8.1
2021-11-01,350.9,13.7,517.9,8.2
2021-12-01,367.7,13.7,533.8,8.5
2022-01-01,364.5,13.2,521.8,8.3
2022-02-01,356.9,13.0,513.7,8.1
2022-03-01,361.0,13.1,502.4,8.0
2022-04-01,357.2,12.8,501.2,7.7
2022-05-01,341.4,12.5,475.7,7.4
2022-06-01,343.9,12.2,474.7,7.4
2022-07-01,336.2,12.1,476.5,7.4
2022-08-01,337.6,12.1,467.5,7.1
2022-09-01,339.1,12.1,460.4,7.1
2022-10-01,337.2,12.1,476.9,7.4
2022-11-01,329.3,11.9,453.1,7.0
2022-12-01,331.0,11.8,444.5,6.9
2023-01-01,328.8,11.5,449.7,7.0
2023-02-01,320.8,11.3,450.2,7.0
2023-03-01,317.3,11.2,454.9,7.1
2023-04-01,315.6,11.1,441.0,6.7
2023-05-01,313.0,11.0,448.6,7.0
2023-06-01,312.4,11.0,444.8,6.9
2023-07-01,311.2,10.9,444.8,6.8
2023-08-01,309.2,10.8,439.6,6.8
2023-09-01,310.1,10.6,440.0,6.7
2023-10-01,313.3,10.7,439.6,6.6
2023-11-01,308.5,10.6,432.0,6.5
2023-12-01,307.2,10.6,432.1,6.4
2024-01-01,299.1,10.7,422.2,6.9
2024-02-01,295.7,10.6,420.1,6.9
2024-03-01,296.9,10.6,420.3,6.9
2024-04-01,293.6,10.5,416.6,6.8
2024-05-01,295.6,10.5,412.0,6.7
2024-06-01,293.5,10.4,409.0,6.7
2024-07-01,294.6,10.4,404.3,6.6
2024-08-01,294.8,10.4,404.7,6.6
2024-09-01,295.6,10.4,407.6,6.4
2024-10-01,300.6,10.5,402.8,6.3
2024-11-01,300.0,10.4,401.8,6.3
2024-12-01,301.4,10.4,400.7,6.3
2025-01-01,299.3,10.3,402.4,6.3
2025-02-01,298.9,10.3,401.6,6.3
2025-03-01,299.7,10.3,399.4,6.3
2025-04-01,298.3,10.3,400.6,6.2
2025-05-01,297.7,10.2,399.0,6.2
2025-06-01,297.5,10.2,396.8,6.2
2025-07-01,298.9,10.2,399.0,6.2
2025-08-01,298.0,10.2,398.7,6.2
2025-09-01,296.9,10.1,398.1,6.2
2025-10-01,297.6,10.1,398.5,6.1
2025-11-01,297.9,10.1,398.0,6.1
2025-12-01,298.7,10.1,396.9,6.1
